Id,PID,Lot Frontage,Lot Area,Utilities,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Val,Yr Sold,Sale Type,SalePrice,Bsmt Total Fin SF,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Street_Pave,Alley_None,Alley_Pave,Lot Shape_IR2,Lot Shape_IR3,Lot Shape_Reg,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Land Slope_Mod,Land Slope_Sev,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosA,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 1_RRNe,Condition 1_RRNn,Condition 2_Feedr,Condition 2_Norm,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAe,Condition 2_RRAn,Condition 2_RRNn,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_ImStucc,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 2nd_AsphShn,Exterior 2nd_Brk Cmn,Exterior 2nd_BrkFace,Exterior 2nd_CBlock,Exterior 2nd_CmentBd,Exterior 2nd_HdBoard,Exterior 2nd_ImStucc,Exterior 2nd_MetalSd,Exterior 2nd_Plywood,Exterior 2nd_Stone,Exterior 2nd_Stucco,Exterior 2nd_VinylSd,Exterior 2nd_Wd Sdng,Exterior 2nd_Wd Shng,Mas Vnr Type_BrkFace,Mas Vnr Type_None,Mas Vnr Type_Stone,BsmtFin Type 1_BLQ,BsmtFin Type 1_GLQ,BsmtFin Type 1_LwQ,BsmtFin Type 1_None,BsmtFin Type 1_Rec,BsmtFin Type 1_Unf,BsmtFin Type 2_BLQ,BsmtFin Type 2_GLQ,BsmtFin Type 2_LwQ,BsmtFin Type 2_None,BsmtFin Type 2_Rec,BsmtFin Type 2_Unf,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_None,Misc Feature_Gar2,Misc Feature_None,Misc Feature_Othr,Misc Feature_Shed,Misc Feature_TenC,Roof Matl_Metal,Roof Matl_Roll,Exterior 1st_PreCast,Exterior 2nd_Other,Exterior 2nd_PreCast,Mas Vnr Type_CBlock,Heating_GasA,Age When Sold,Age After Remodeled When Sold,Age Garage When Sold,MS SubClass_1-1/2 STORY FINISHED ALL AGES,MS SubClass_1-1/2 STORY PUD - ALL AGES,MS SubClass_1-STORY 1945 & OLDER,MS SubClass_1-STORY 1946 & NEWER ALL STYLES,MS SubClass_1-STORY PUD (Planned Unit Development) - 1946 & NEWER,MS SubClass_1-STORY W/FINISHED ATTIC ALL AGES,MS SubClass_2 FAMILY CONVERSION - ALL STYLES AND AGES,MS SubClass_2-1/2 STORY ALL AGES,MS SubClass_2-STORY 1945 & OLDER,MS SubClass_2-STORY 1946 & NEWER,MS SubClass_2-STORY PUD - 1946 & NEWER,MS SubClass_DUPLEX - ALL STYLES AND AGES,MS SubClass_PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,MS SubClass_SPLIT FOYER,MS SubClass_SPLIT OR MULTI-LEVEL
109,533352170,69.0174621653085,13517.0,4,6,8,1976,2005,289.0,4,3,5,3,3,1,533.0,0.0,192.0,725.0,5,2,5,725.0,754.0,0.0,1479.0,0,0,2,1,1,4,6,8,0,0,1976,2,475.0,3,3,2,0.0,44.0,0.0,0.0,0.0,0.0,0,0,0.0,2010,5,130500,533.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,5,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
544,531379050,43.0,11492.0,4,7,5,1996,1997,132.0,4,3,4,4,3,1,637.0,0.0,276.0,913.0,5,2,5,913.0,1209.0,0.0,2122.0,1,0,2,1,1,4,8,8,1,3,1997,2,559.0,3,3,2,0.0,74.0,0.0,0.0,0.0,0.0,0,0,0.0,2009,5,220000,637.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,12,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
153,535304180,68.0,7922.0,4,5,7,1953,2007,0.0,3,4,5,3,3,1,731.0,0.0,326.0,1057.0,3,2,5,1057.0,0.0,0.0,1057.0,1,0,1,0,1,4,5,8,0,0,1953,1,246.0,3,3,2,0.0,52.0,0.0,0.0,0.0,0.0,0,0,0.0,2010,5,109000,731.0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,57,3,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
318,916386060,73.0,9802.0,4,5,5,2006,2007,0.0,3,3,4,4,3,1,0.0,0.0,384.0,384.0,4,2,5,744.0,700.0,0.0,1444.0,0,0,2,1,1,3,7,8,0,0,2007,3,400.0,3,3,2,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2010,5,174000,0.0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
255,906425045,82.0,14235.0,4,6,8,1900,1993,0.0,3,3,4,2,4,1,0.0,0.0,676.0,676.0,3,2,5,831.0,614.0,0.0,1445.0,0,0,2,0,1,3,6,8,0,0,1957,1,484.0,3,3,0,0.0,59.0,0.0,0.0,0.0,0.0,0,0,0.0,2010,5,138500,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,110,17,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,535126040,137.0,16492.0,4,6,6,1966,2002,0.0,4,3,5,3,3,1,247.0,713.0,557.0,1517.0,5,2,5,1888.0,0.0,0.0,1888.0,0,0,2,1,1,4,6,5,1,4,1966,3,578.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2010,5,190000,960.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,8,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2827,908186070,35.0,3675.0,4,6,5,2005,2006,82.0,3,3,4,4,3,4,547.0,0.0,0.0,547.0,4,2,5,1072.0,0.0,0.0,1072.0,1,0,2,0,1,3,5,8,0,0,2005,3,525.0,3,3,2,0.0,44.0,0.0,0.0,0.0,0.0,0,0,0.0,2006,10,140000,547.0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,535154050,69.0174621653085,12160.0,4,5,5,1959,1959,180.0,3,3,5,3,3,1,1000.0,0.0,188.0,1188.0,2,2,5,1188.0,0.0,0.0,1188.0,1,0,1,0,1,3,6,8,0,0,1959,2,531.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,2010,4,142000,1000.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,51,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1942,535353130,69.0174621653085,15783.0,4,5,5,1952,1952,0.0,3,3,5,3,3,1,292.0,0.0,632.0,924.0,3,2,5,924.0,0.0,0.0,924.0,0,0,1,0,1,3,6,8,0,0,1952,1,420.0,3,3,2,0.0,324.0,0.0,0.0,0.0,0.0,0,3,400.0,2007,5,112500,292.0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,55,55,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1956,535426130,70.0,11606.0,4,5,5,1969,1969,192.0,3,3,4,4,3,3,650.0,0.0,390.0,1040.0,3,2,5,1040.0,1040.0,0.0,2080.0,0,1,1,2,1,2,9,8,2,3,1969,1,504.0,3,3,2,335.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2007,5,135000,650.0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,38,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
